TEST_ID,test_step_name,test_Step_Expected_result,test_step_Actual_result
1,Step 1,The Assets page should be displayed with the focus on the List tab.,"The Assets page is displayed with the focus on the List tab.

Actor: LOC_ASSET (TLOCA_GU)

  [User: a3k7kzz]"
1,Step 2,The Assets tab should be highlighted and the new Assets screen should be displayed.,"The Assets tab is highlighted and the new Assets screen is displayed.

  [User: a3k7kzz]"
1,Step 3,"The following fields should be displayed in the  1st section of the Asset page.

1.Asset 
2.Short description - text box(required field)
3.Status
4.Site
5.Asset Type - Value list
6.Attachments
7.Moved? - checkbox.","The following fields are displayed in the 1st section of the Asset page.

1.Asset 
2.Short description - text box(required field)
3.Status
4.Site
5.Asset Type - Value list
6.Attachments
7.Moved? - checkbox.



  [User: a3k7kzz]"
1,Step 4,"The Details frame/section title bar should be changed and renamed as ""Asset and Work Data""","The Details frame/section title bar is changed and renamed as ""Asset and Work Data""




  [User: a3k7kzz]"
1,Step 5,"The following sections should be displayed in Asset page:

1.Asset and Work Data
2.Purchase information
3.Downtime","The following sections are displayed in Asset page:

1.Asset and Work Data
2.Purchase information
3.Downtime

  [User: a3k7kzz]"
1,Step 6,"The following fields should be displayed.
Area
Purchase Price
Replacement Cost
Budgeted
Owner Group
Print Number
Warranty Expiration Date
Last Yr Cost","The following fields are displayed.
Area
Purchase Price
Replacement Cost
Budgeted
Owner Group
Print Number
Warranty Expiration Date
Last Yr Cost

  [User: a3k7kzz]"
1,Step 7,"The following fields should be moved to the left:

1.Calendar
2.Shift
3.Serial #
4.Item Type","The following fields are moved to the left:

1.Calendar
2.Shift
3.Serial #
4.Item Type

  [User: a3k7kzz]"
1,Step 8,"The following fields should be moved to the right:

1.Priority
2.Failure Class","The following fields are moved to the right:

1.Priority
2.Failure Class

  [User: a3k7kzz]"
1,Step 1,The Assets page should be displayed with the focus on the List tab.,"The Assets page is displayed with the focus on the List tab.

Actor: SAMS_COOR (TSACD_GU)

  [User: a3k7kzz]"
1,Step 2,The Assets tab should be highlighted and the new Assets screen should be displayed.,"The Assets tab is highlighted and the new Assets screen is displayed.

  [User: a3k7kzz]"
1,Step 3,"The following fields should be displayed in the  1st section of the Asset page.

1.Asset 
2.Short description - text box(required field)
3.Status
4.Site
5.Asset Type - Value list
6.Attachments
7.Moved? - checkbox.","The following fields are displayed in the 1st section of the Asset page.

1.Asset 
2.Short description - text box(required field)
3.Status
4.Site
5.Asset Type - Value list
6.Attachments
7.Moved? - checkbox.



  [User: a3k7kzz]"
1,Step 4,"The Details frame/section title bar should be changed and renamed as ""Asset and Work Data""","The Details frame/section title bar is changed and renamed as ""Asset and Work Data""




  [User: a3k7kzz]"
1,Step 5,"The following sections should be displayed in Asset page:

1.Asset and Work Data
2.Purchase information
3.Downtime","The following sections are displayed in Asset page:

1.Asset and Work Data
2.Purchase information
3.Downtime

  [User: a3k7kzz]"
1,Step 6,"The following fields should be displayed.
Area
Purchase Price
Replacement Cost
Budgeted
Owner Group
Print Number
Warranty Expiration Date
Last Yr Cost","The following fields are displayed.
Area
Purchase Price
Replacement Cost
Budgeted
Owner Group
Print Number
Warranty Expiration Date
Last Yr Cost

  [User: a3k7kzz]"
1,Step 7,"The following fields should be moved to the left:

1.Calendar
2.Shift
3.Serial #
4.Item Type","The following fields are moved to the left:

1.Calendar
2.Shift
3.Serial #
4.Item Type

  [User: a3k7kzz]"
1,Step 8,"The following fields should be moved to the right:

1.Priority
2.Failure Class","The following fields are moved to the right:

1.Priority
2.Failure Class

  [User: a3k7kzz]"
1,Step 1,The Assets page should be displayed with the focus on the List tab.,"The Assets page is displayed with the focus on the List tab.

Actor: SAMS_PES (TSAMSPES)

  [User: a3k7kzz]"
1,Step 2,The Assets tab should be highlighted and the new Assets screen should be displayed.,"The Assets tab is highlighted and the new Assets screen is displayed.

  [User: a3k7kzz]"
1,Step 3,"The following fields should be displayed in the  1st section of the Asset page.

1.Asset 
2.Short description - text box(required field)
3.Status
4.Site
5.Asset Type - Value list
6.Attachments
7.Moved? - checkbox.","The following fields are displayed in the 1st section of the Asset page.

1.Asset 
2.Short description - text box(required field)
3.Status
4.Site
5.Asset Type - Value list
6.Attachments
7.Moved? - checkbox.



  [User: a3k7kzz]"
1,Step 4,"The Details frame/section title bar should be changed and renamed as ""Asset and Work Data""","The Details frame/section title bar is changed and renamed as ""Asset and Work Data""




  [User: a3k7kzz]"
1,Step 5,"The following sections should be displayed in Asset page:

1.Asset and Work Data
2.Purchase information
3.Downtime","The following sections are displayed in Asset page:

1.Asset and Work Data
2.Purchase information
3.Downtime

  [User: a3k7kzz]"
1,Step 6,"The following fields should be displayed.
Area
Purchase Price
Replacement Cost
Budgeted
Owner Group
Print Number
Warranty Expiration Date
Last Yr Cost","The following fields are displayed.
Area
Purchase Price
Replacement Cost
Budgeted
Owner Group
Print Number
Warranty Expiration Date
Last Yr Cost

  [User: a3k7kzz]"
1,Step 7,"The following fields should be moved to the left:

1.Calendar
2.Shift
3.Serial #
4.Item Type","The following fields are moved to the left:

1.Calendar
2.Shift
3.Serial #
4.Item Type

  [User: a3k7kzz]"
1,Step 8,"The following fields should be moved to the right:

1.Priority
2.Failure Class","The following fields are moved to the right:

1.Priority
2.Failure Class

  [User: a3k7kzz]"
4,Step 1,The Job Plans page should be displayed with the focus on the Job plan field of the List tab.,"The Job Plans page is displayed with the focus on the Job plan field of the List tab.

Actor: PLANNER (TPLNR_GU)

  [User: a3k7kzz]"
4,Step 2,"The Job Plan tab should be highlighted and the new ""Job Plans"" screen should be displayed.","The Job Plan tab is highlighted and the new ""Job Plans"" screen is displayed.
 

  [User: a3k7kzz]"
4,Step 3,"The following fields should be displayed in the 1st section of the Job Plans page

1.Job Plan - required field 
2.Short description - text box(required field)
3.Organization - Value list(defaulted)
4.Site - Value list(defaulted)
5.Attachments","The following fields are displayed in the 1st section of the Job Plans page

1.Job Plan - required field 
2.Short description - text box(required field)
3.Organization - Value list(defaulted)
4.Site - Value list(defaulted)
5.Attachments



  [User: a3k7kzz]"
4,Step 4,"The following sections should be displayed in Asset page:

1.Details
2.Job Plan Tasks","The following sections are displayed in Asset page:

1.Details
2.Job Plan Tasks



  [User: a3k7kzz]"
4,Step 5,A new row should be displayed and all the required details should be displayed below.,"A new row is displayed and all the required details are displayed below.

  [User: a3k7kzz]"
4,Step 6,"The following should be displayed as required fields in the Job plan task section:

1.Task
2.Task description
3.Duration","The following are displayed as required fields in the Job plan task section:

1.Task
2.Task description
3.Duration



  [User: a3k7kzz]"
4,Step 7,The WO Category description field should be displayed in the Job details page.,"The WO Category description field is displayed in the Job details page.

  [User: a3k7kzz]"
4,Step 1,The Job Plans page should be displayed with the focus on the Job plan field of the List tab.,"The Job Plans page is displayed with the focus on the Job plan field of the List tab.

Actor: MSUPV_ALL (TSUPV_ALL)

  [User: a3k7kzz]"
4,Step 2,"The Job Plan tab should be highlighted and the new ""Job Plans"" screen should be displayed.","The Job Plan tab is highlighted and the new ""Job Plans"" screen is displayed.
 

  [User: a3k7kzz]"
4,Step 3,"The following fields should be displayed in the 1st section of the Job Plans page

1.Job Plan - required field 
2.Short description - text box(required field)
3.Organization - Value list(defaulted)
4.Site - Value list(defaulted)
5.Attachments","The following fields are displayed in the 1st section of the Job Plans page

1.Job Plan - required field 
2.Short description - text box(required field)
3.Organization - Value list(defaulted)
4.Site - Value list(defaulted)
5.Attachments



  [User: a3k7kzz]"
4,Step 4,"The following sections should be displayed in Asset page:

1.Details
2.Job Plan Tasks","The following sections are displayed in Asset page:

1.Details
2.Job Plan Tasks



  [User: a3k7kzz]"
4,Step 5,A new row should be displayed and all the required details should be displayed below.,"A new row is displayed and all the required details are displayed below.

  [User: a3k7kzz]"
4,Step 6,"The following should be displayed as required fields in the Job plan task section:

1.Task
2.Task description
3.Duration","The following are displayed as required fields in the Job plan task section:

1.Task
2.Task description
3.Duration



  [User: a3k7kzz]"
4,Step 7,The WO Category description field should be displayed in the Job details page.,"The WO Category description field is displayed in the Job details page.

  [User: a3k7kzz]"
